L40_1,Climate Change: Policy & Governance,"Design, institutions, and processes steering mitigation, adaptation, and coordinated climate action.",11621
L40_2,Climate Change: Agriculture,"How farming, land use and production interact with climate, emissions, and ecosystem health.",8375
L40_3,Climate Change: Marine Ecology,"Study of marine ecosystems, species, and their responses to climate change and human impacts.",8112
L40_4,Climate Change: Extreme Weather,"Assessment of extreme weather events, their drivers, and impacts under climate change",6341
L40_5,Climate Change: Emissions Mitigation,Strategies and measures to quantify and rapidly reduce greenhouse gas emissions.,5593
L40_6,Irrelevant Data,None,4662
L40_7,Climate Change: Biodiversity Conservation,"Planning and actions to protect species, habitats, and ecosystems from climate impacts.",4414
L40_8,Climate Change: Climate Modeling,Building and applying models to simulate and forecast the climate system and its variability.,4404
L40_9,Climate Change: Carbon Cycle,"How land and vegetation absorb, store, and release carbon, affecting atmospheric CO2 and climate.",3699
L40_10,Climate Change: Hydrological Impacts,"Climate-driven changes in the water cycle, droughts, soil moisture, and freshwater availability.",3032
L40_11,Climate Change: Cryosphere Changes,"Warming-driven changes to glaciers, ice, snow, permafrost and resulting climate and sea-level impacts.",2741
L40_12,Climate Change: Social Equity,"Fair inclusion, access, and justice for vulnerable groups in climate impacts and governance.",2623
L40_13,Climate Change: Data & Observation,"Collection, challenges, and advancement of climate observations and datasets from multiple platforms.",2554
L40_14,Climate Change: Human-Environment Interaction,Interactions and feedbacks between human societies and natural ecosystems under climate change.,2107
L40_15,Climate Change: Climate Science,"Research on the climate system, observed changes, and human influences on global warming.",1931
L40_16,Climate Change: Expert Judgment,Use of expert consensus and confidence to present climate assessment conclusions.,1918
L40_17,Climate Change: Natural Disturbances,"Managing fires, extreme heat, and other disturbances to reduce ecosystem damage and carbon release",1857
L40_18,Climate Change: Paleoclimate Ecology,"Study of how past climate changes shaped ancient ecosystems, species, and environments",1823
L40_19,Climate Change: Public Health,"Health risks, vulnerabilities, and system impacts from climate change on populations",1769
L40_20,Climate Change: Electrification Impacts,"How electrifying sectors affects energy demand, grids, emissions, and decarbonization outcomes",1487
L40_21,Climate Change: Sustainable Development,"Integrating economic growth with environmental protection, resilience, and resource efficiency.",1208
L40_22,Climate Change: Fossil Fuel Extraction,"Production, availability, and decline of fossil fuels driving greenhouse gas emissions.",1161
L40_23,Climate Change: Transportation Emissions,"Emissions from transport systems and lifecycles, and strategies to reduce them.",1121
L40_24,Climate Change: Industry Sustainability,"How industries reduce emissions, adapt operations, and maintain resilient sustainable production.",1109
L40_25,Climate Change: Indoor Air Quality,"Indoor pollutant chemistry, exposures, health effects, and energy-related climate control.",1086
L40_26,Climate Change: Digital Technology,"Digital tools and data for mitigation, adaptation, and emissions measurement.",1058
L40_27,Climate Change: Infectious Diseases,"How climate change alters disease patterns, transmission, emergence, and related resistance dynamics.",1019
L40_28,Climate Change: Biophysical & Biogeochemical Effects,"Biophysical and biogeochemical impacts of interventions on climate, ecosystems, and Earth system processes.",988
L40_29,Climate Change: Radiative Forcing,"Factors and mechanisms that alter Earth’s energy balance, including greenhouse gases and external forcings.",873
L40_30,Climate Change: Socioeconomic Policy,"How education, poverty, governance, and policy influence mitigation and adaptation outcomes.",619
L40_31,Climate Change: Urban Heat Mitigation,Strategies to reduce excessive urban temperatures and related air-quality health risks.,540
L40_32,Climate Change: ESG Investing,"Using environmental, social, and governance criteria to guide climate-aligned investment decisions.",537
L40_33,Climate Change: Environmental Pollution,"Causes, distribution, and harms of pollutants interacting with climate change and damaging ecosystems.",513
