L57_1,Irrelevant Data,None,4662
L57_2,Climate Change: Policy & Governance,Government policies and institutional frameworks promoting ecological protection and climate action.,4023
L57_3,Climate Change: Extreme Weather Events,"Study of extreme weather events driven by climate change, including their frequency, impacts, and management.",3966
L57_4,Climate Change: Hydrological Change,"Variations and impacts of climate change on water cycles, resources, and related ecological and human systems.",3926
L57_5,Climate Change: Atmospheric Science,"Study of atmospheric processes including chemistry, circulation, and gas concentrations relevant to climate variability.",3848
L57_6,Climate Change: Climate Modeling,"Studies of climate models including methods, challenges, and observational data integration.",3792
L57_7,Climate Change: Agriculture,"Examining how farming impacts land use, emissions, ecosystem health, food production, and security.",3272
L57_8,Climate Change: Biodiversity Conservation,"Protecting wildlife, ecosystems, and species to maintain biodiversity and mitigate climate change impacts.",2723
L57_9,Climate Change: Health Impacts,Health risks and strategies addressing vulnerabilities caused by climate change across populations and regions.,2606
L57_10,Climate Change: Mitigation Strategies,Development and implementation of methods to reduce greenhouse gas emissions and climate impacts.,2518
L57_11,Climate Change: Ecosystems,"Impacts of climate change on species habitats, biodiversity, ecosystem functions, and ecological benefits.",2341
L57_12,Climate Change: Marine Ecosystems,"Impacts of climate change on marine biodiversity, chemistry, and adaptive responses in ocean ecosystems.",2222
L57_13,Climate Change: Air Pollution,"Examines air pollution's sources, effects, regulations, and climate-related impacts on environment and health.",2035
L57_14,Climate Change: Economic Impacts,"Economic effects of climate change including costs, risks, and damages influencing regional and sectoral economics.",1758
L57_15,Climate Change: Environmental Impact,Assessing contributors and consequences of environmental degradation caused by climate change.,1751
L57_16,Climate Change: Species Adaptation,Biological and behavioral changes enabling species to survive in altered temperature and habitat conditions.,1711
L57_17,Climate Change: Adaptation Strategies,Strategies and actions for adjusting natural and human systems to climate change impacts.,1627
L57_18,Climate Change: Regional Climate Impacts,"Understanding how climate change affects regional and local weather, risks, adaptation, and resilience.",1592
L57_19,Climate Change: Greenhouse Gas Emissions,"Per capita emissions data and trends of CO2, methane, and other gases contributing to global warming.",1449
L57_20,Climate Change: Data Analysis,"Processing, analyzing, and managing climate data to reveal trends, impacts, and inform decisions.",1442
L57_21,Climate Change: Societal Transformation,"Radical societal, political, and behavioral changes essential for effective responses to the climate crisis.",1311
L57_22,Climate Change: Social Vulnerability,"How climate impacts disproportionately affect populations due to social, economic, and poverty-related factors.",1257
L57_23,Climate Change: Paleoclimate Studies,"Using geological, archaeological, and historical records to understand past climate variability and impacts.",1142
L57_24,Climate Change: Cryosphere Dynamics,"Formation, movement, and melting of glaciers and ice sheets influenced by climate change affecting sea levels.",1131
L57_25,Climate Change: Urban Planning,"Integrating infrastructure, policy, and design for inclusive, resilient, and sustainable urban mobility and development.",1043
L57_26,Climate Change: Agricultural Adaptation,Teaching farmers sustainable methods and innovations to adapt agriculture for climate resilience and long-term benefits.,1040
